### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,219,303,-176.987,0,255,0,0,100,1,1
1,337,289,11.911,0,255,0,0,100,1,1
2,263,798,-88.0839,0,255,0,0,100,1,1
3,589,728,77.347,0,255,0,0,100,1,1
4,722,633,6.79875,0,255,0,0,100,1,1
5,729,531,-136.28,0,255,0,0,100,1,1
6,938,615,-140.177,0,255,0,0,100,1,1
7,847,439,3.40206,0,255,0,0,100,1,1
8,240,132,157.677,0,255,0,0,100,1,1
9,845,600,-93.0593,0,255,0,0,100,1,1
10,915,606,-75.2699,0,255,0,0,100,1,1
11,356,665,152.681,0,255,0,0,100,1,1
12,445,177,11.6976,0,255,0,0,100,1,1
13,431,760,-170.874,0,255,0,0,100,1,1
14,368,71,-149.605,0,255,0,0,100,1,1
15,510,692,96.2057,0,255,0,0,100,1,1
16,62,581,-46.8458,0,255,0,0,100,1,1
17,837,496,134.582,0,255,0,0,100,1,1
18,206,257,54.4394,0,255,0,0,100,1,1
19,669,628,-69.2926,0,255,0,0,100,1,1
20,717,908,-167.311,0,255,0,0,100,1,1
21,454,623,153.924,0,255,0,0,100,1,1
22,508,286,-15.8033,0,255,0,0,100,1,1
23,295,408,73.7824,0,255,0,0,100,1,1
24,843,739,-56.9162,0,255,0,0,100,1,1
25,165,690,16.1354,0,255,0,0,100,1,1
26,688,395,-94.7974,0,255,0,0,100,1,1
27,281,490,-51.2946,0,255,0,0,100,1,1
28,564,261,89.7671,0,255,0,0,100,1,1
29,301,318,83.132,0,255,0,0,100,1,1
30,261,837,-58.4062,0,255,0,0,100,1,1
31,777,323,-55.2778,0,255,0,0,100,1,1
32,279,829,84.9125,0,255,0,0,100,1,1
33,214,791,-63.0934,0,255,0,0,100,1,1
34,694,275,-145.038,0,255,0,0,100,1,1
35,423,859,-47.6025,0,255,0,0,100,1,1
36,638,545,63.0719,0,255,0,0,100,1,1
37,628,470,52.3763,0,255,0,0,100,1,1
38,357,152,-131.856,0,255,0,0,100,1,1
39,912,465,-106.533,0,255,0,0,100,1,1
40,370,361,161.397,0,255,0,0,100,1,1
41,474,780,131.747,0,255,0,0,100,1,1
42,368,401,109.223,0,255,0,0,100,1,1
43,833,708,-10.7022,0,255,0,0,100,1,1
44,793,761,-161.281,0,255,0,0,100,1,1
45,549,953,116.509,0,255,0,0,100,1,1
46,375,214,96.6358,0,255,0,0,100,1,1
47,557,646,-121.419,0,255,0,0,100,1,1
48,614,206,-27.6811,0,255,0,0,100,1,1
49,770,830,177.408,0,255,0,0,100,1,1
50,259,624,-157.741,0,255,0,0,100,1,1
51,128,471,-43.47,0,255,0,0,100,1,1
52,91,664,-28.7778,0,255,0,0,100,1,1
53,279,220,-43.4945,0,255,0,0,100,1,1
54,386,595,87.765,0,255,0,0,100,1,1
55,545,308,17.6994,0,255,0,0,100,1,1
56,208,396,84.5516,0,255,0,0,100,1,1
57,735,645,63.4606,0,255,0,0,100,1,1
58,479,270,-64.6051,0,255,0,0,100,1,1
59,469,676,-108.027,0,255,0,0,100,1,1
60,349,807,38.1637,0,255,0,0,100,1,1
61,863,397,43.45,0,255,0,0,100,1,1
62,818,635,-76.3219,0,255,0,0,100,1,1
63,748,868,40.2218,0,255,0,0,100,1,1
64,691,636,6.97247,0,255,0,0,100,1,1
65,602,540,-100.059,0,255,0,0,100,1,1
66,763,227,55.5335,0,255,0,0,100,1,1
67,429,549,84.3671,0,255,0,0,100,1,1
68,294,473,165.883,0,255,0,0,100,1,1
69,182,306,-178.061,0,255,0,0,100,1,1
70,516,766,-138.407,0,255,0,0,100,1,1
